old_text|text|word|emoji|emoji_mean|lables
是我通过携程订到的最烂的酒店。7月18日入住，当时是300元/天，我看最多值80元。1、房间墙壁斑驳；2、设施陈旧不堪；3、卫生间奇小，且看起来非常不干净；4、价格昂贵；5、竟然还要信用卡担保，不知道是携程变态还是酒店变态；6、前台态度还不错。在秦发酒店的北面就有报业商务酒店，价格公道，设施干净。再往北还有海岳商务酒店，可惜是新装修过的，味道太大了。|是我通过[MASK][MASK]的[MASK]的[MASK]。7[MASK]18[MASK][MASK]，当时是300[MASK]/天，我看[MASK]80元。1、[MASK][MASK][MASK]；2、[MASK][MASK]；3、卫生间奇小，且看起来非常不干净；4、价格昂贵；5、竟然还要信用卡担保，不知道是携程变态还是酒店变态；6、前台态度还不错。在秦发酒店的北面就有报业商务酒店，价格公道，设施干净。再往北还有海岳商务酒店，可惜是新装修过的，味道太大了。|['携程', '订到', '最烂', '酒店', '月', '日', '入住', '元天', '最多值', '元', '房间', '墙壁', '斑驳', '设施', '陈旧不堪', '奇小且']|['✍', '🤫', '👄', '🍺', '🈷', '☀', '🪱', '😵\u200d💫', '👄', '😵\u200d💫', '💨', '🤔', '💩', '👅', '💋', '7️⃣']|['写', '静', '嘴', '酒', '月', '日', '蠕', '晕', '嘴', '晕', '风', '想', '便', '舌', '脣', '七']|0
通过携程预定的行政双床房(且提前付清房费)~最后居然给我们父女两人一间大床房~还一再申明没有双床房了~在我的一再要求下~最后虽然还是提供了双床房~但是印象大打折扣~补充点评2008年3月24日：温泉~住店客人是98/位~小鱼池是46~另外收费的~|通过[MASK][MASK]的[MASK][MASK]房(且提前[MASK][MASK])~最后[MASK]给我们[MASK][MASK][MASK]大床房~还一再申明没有双床房了~在我的一再要求下~最后虽然还是提供了双床房~但是印象大打折扣~补充点评2008年3月24日：温泉~住店客人是98/位~小鱼池是46~另外收费的~|['携程', '预定', '行政', '双床', '房且', '付清', '房费', '居然', '父女', '两人', '一间']|['✍', '\U0001fae4', '🤫', '🤥', '💨', '🧑', '💨', '\U0001faf4', '🧑', '🤔', '🐜']|['写', '郁', '静', '谎', '风', '父', '风', '举', '父', '想', '蚁']|1
硬件不错,商务酒店里面算是有特色的了。服务中等，前台不错，但房间服务一般般。价格比较贵，不过行政间大抵都这样子。位置有点偏不太好找，出租汽车司机有些找不到，说是万象城附近，但要绕进去|[MASK][MASK],[MASK]里面[MASK]有特色的了。[MASK][MASK]，[MASK][MASK]，但[MASK][MASK]一般般。价格比较贵，不过行政间大抵都这样子。位置有点偏不太好找，出租汽车司机有些找不到，说是万象城附近，但要绕进去|['硬件', '不错', '商务酒店', '算是', '服务', '中等', '前台', '不错', '房间', '服务']|['🤫', '⛔', '🤕', '✊', '🧑', '🤩', '😗', '⛔', '💨', '🧑']|['静', '禁', '伤', '拳', '父', '崇', '亲', '禁', '风', '父']|1
后悔看了评价。上面老兄的要求也够低的。1）隔音太差2）早餐太差3）卫生间太小4）房间装修太差总的来说就是一经济性酒店。|[MASK]看了[MASK]。上面[MASK]的要求也够低的。1）[MASK]太[MASK]2）[MASK]太差3）卫生间太小4）房间装修太差总的来说就是一经济性酒店。|['后悔', '评价', '老兄', '隔音', '差', '早餐']|['🤡', '🤫', '🧓', '🕊', '\U0001fab9', '🧼']|['丑', '静', '老', '鸽', '巢', '皂']|0
还好了!朋友建议入住的酒店,可以接受了,有机会会尝试其他酒店对比|还好了![MASK][MASK][MASK]的[MASK],可以接受了,有机会会尝试其他酒店对比|['朋友', '建议', '入住', '酒店']|['🥶', '😴', '🪱', '🍺']|['冷', '眠', '蠕', '酒']|1
补充一下：洗发水也要自备。如果您认为洗洁精同样可以洗发的话，那就无所谓啦！|[MASK]一下：[MASK]也要自备。如果您认为洗洁精同样可以洗发的话，那就无所谓啦！|['补充', '洗发水']|['⛔', '😁']|['禁', '嘻']|0
很典型的型酒店就是房很小,生也不大。并且设施非常的简陋。空得了些|[MASK][MASK]的[MASK][MASK]就是房很小,生也不大。并且设施非常的简陋。空得了些|['很', '典型', '型', '酒店']|['🪡', '😴', '🤫', '🍺']|['针', '眠', '静', '酒']|0
出租司机一般不知这个酒店，北京汽车大厂前的路牌太细，出租司机看不见走过头，应将路牌加大。房间还算不错，比较宽敞、乾净，提供的卫生用品还可以，但工作桌子上的桌灯没有充足光线，不能阅读，工作不方便。宽带速度还可以。枕头太僵硬而没有弹性，床相对较软并不配合。|[MASK][MASK]一般[MASK]这个[MASK]，[MASK][MASK]大厂[MASK]的[MASK]太细，[MASK][MASK]看不见走过头，应将[MASK][MASK]。[MASK]还[MASK]不错，比较宽敞、乾净，提供的卫生用品还可以，但工作桌子上的桌灯没有充足光线，不能阅读，工作不方便。宽带速度还可以。枕头太僵硬而没有弹性，床相对较软并不配合。|['出租', '司机', '不知', '酒店', '北京', '汽车', '前', '路牌', '出租', '司机', '路牌', '加大', '房间', '算']|['🤡', '😔', '⛔', '🍺', '🤚', '7️⃣', '😗', '🦌', '🤡', '😔', '🦌', '😯', '💨', '✊']|['丑', '思', '禁', '酒', '背', '七', '亲', '鹿', '丑', '思', '鹿', '缄', '风', '拳']|1
我不知道这里的早餐餐具到底是否消毒，我看到服务生直接就拿收下来的餐具在水龙头上手洗以后又放回到了盘中供客人取用。想想真恶心|我[MASK]知道这里的[MASK]餐具[MASK]是否[MASK]，我看到[MASK]直接就拿[MASK]的餐具在水龙头上手洗以后又放回到了盘中供客人取用。想想真恶心|['不', '早餐', '到底', '消毒', '服务生', '收下来']|['⛔', '🧼', '🙃', '🤣', '🧑', '🤡']|['禁', '皂', '倒', '笑', '父', '丑']|0
设施一般，比较旧。环境比较吵。二楼有个餐厅，人员往来较杂。退房时，清理房间的服务员竟然诬告用了什么洁牙水，晕！真是荒唐，令人气愤！估计是这个服务员自己拿了，反过来诬告客人。建议以后不要在房间里摆放那些收费的东西，需要什么客人可以到下面的杂货店购买，否则某些素质不高的服务员自己用了或拿了那些收费用品，搞得客人反倒恼火。|[MASK]一般，比较[MASK]。[MASK]比较[MASK]。[MASK][MASK]餐厅，[MASK][MASK][MASK]。[MASK][MASK]，[MASK][MASK]的服务员竟然诬告用了什么洁牙水，晕！真是荒唐，令人气愤！估计是这个服务员自己拿了，反过来诬告客人。建议以后不要在房间里摆放那些收费的东西，需要什么客人可以到下面的杂货店购买，否则某些素质不高的服务员自己用了或拿了那些收费用品，搞得客人反倒恼火。|['设施', '旧', '环境', '吵', '二楼', '有个', '人员', '往来', '较杂', '退房', '时', '清理', '房间']|['👅', '🍺', '🤥', '🥵', '👂', '👉', '\U0001f979', '🐺', '🤣', '🐇', '👹', '😗', '💨']|['舌', '酒', '谎', '烧', '耳', '右', '忍', '狼', '笑', '兔子', '食', '亲', '风']|0
前台服务态度如晚娘脸孔....房间小,卫生间有一股油耗味,另人想吐....原本住4天,住一天就跑人.....|[MASK][MASK]如[MASK][MASK]....[MASK][MASK],卫生间有一股油耗味,另人想吐....原本住4天,住一天就跑人.....|['前台', '服务态度', '晚娘', '脸孔', '房间', '小']|['😗', '🧑', '🥣', '😴', '💨', '🤣']|['亲', '父', '碗', '眠', '风', '笑']|0
这是第二次入住次酒店。3年前第一次，除了价格上涨之外，其他各方面都比较满意。性价比在青岛来说还是不错的。服务没有什么特别出彩的地方，也没有什么不好的地方。酒店占地很大，绿地很多，环境优雅，都是几层的老建筑，唯一不好的是没有电梯，行李需要提上提下，建议酒店要配备负责的行礼员。还有洗完地毯，上面能不能不要铺那些破布，看着比较难受。|[MASK]第二次[MASK]次[MASK]。3[MASK]第一次，除了[MASK][MASK]，其他各方面[MASK][MASK]。[MASK]在[MASK][MASK]还是[MASK]的。[MASK]没有什么特别[MASK]的地方，也没有什么[MASK]的地方。[MASK]占地很大，绿地很多，环境优雅，都是几层的老建筑，唯一不好的是没有电梯，行李需要提上提下，建议酒店要配备负责的行礼员。还有洗完地毯，上面能不能不要铺那些破布，看着比较难受。|['这是', '入住', '酒店', '年前', '价格上涨', '之外', '都', '比较满意', '性价比', '青岛', '来说', '不错', '服务', '出彩', '不好', '酒店']|['🪡', '🪱', '🍺', '😴', '😯', '🦵', '\U0001fad8', '🤐', '🤫', '😗', '🖍', '⛔', '🧑', '🤡', '⛔', '🍺']|['针', '蠕', '酒', '眠', '缄', '肢', '豆', '闭', '静', '亲', '蜡笔', '禁', '父', '丑', '禁', '酒']|1
中庸的酒店,本来冲着环保房去的,可是,哎,有些失望啊|[MASK]的[MASK],本来[MASK]环保房去的,可是,哎,有些失望啊|['中庸', '酒店', '冲着']|['🤩', '🍺', '🤩']|['崇', '酒', '崇']|0
周围环境不错,就是房间太旧了.还有兑换外币也不很方便.|[MASK][MASK],就是[MASK]太旧了.还有兑换外币也不很方便.|['周围环境', '不错', '房间']|['🤡', '⛔', '💨']|['丑', '禁', '风']|1
泰和楼房间还不错。单入住和退房手续时间太长。入住时先告诉我房间未整理好，但不能先办入住和放行李入房间（因急着有其他事情）。后来房间OK后还是用了40分钟才办好入住手续。|泰和楼[MASK]还[MASK]。[MASK][MASK]和[MASK][MASK][MASK]太[MASK]。[MASK][MASK]告诉我房间未整理好，但不能先办入住和放行李入房间（因急着有其他事情）。后来房间OK后还是用了40分钟才办好入住手续。|['房间', '不错', '单', '入住', '退房', '手续', '时间', '长', '入住', '时先']|['💨', '⛔', '🥚', '🪱', '🐇', '🤡', '👹', '🤕', '🪱', '👹']|['风', '禁', '蛋', '蠕', '兔子', '丑', '食', '伤', '蠕', '食']|0
房间很一般，但服务员态度还不错。不过听说韶山还有比这个更好的酒店，但携程没有。免费注册网站导航宾馆索引服务说明关于携程诚聘英才代理合作广告业务联系我们Copyright1999-2008,ctrip.com.allrightsreserved.|[MASK][MASK]一般，但[MASK]态度还[MASK]。不过[MASK][MASK]还有比这个[MASK]的[MASK]，但携程没有。免费注册网站导航宾馆索引服务说明关于携程诚聘英才代理合作广告业务联系我们Copyright1999-2008,ctrip.com.allrightsreserved.|['房间', '很', '服务员', '不错', '听说', '韶山', '更好', '酒店']|['💨', '🪡', '🧑', '⛔', '🤫', '🥵', '🥶', '🍺']|['风', '针', '父', '禁', '静', '烧', '冷', '酒']|1
