text	label
"What a crap that movie is. The script is simply non existent. The movie at times seems like a music video. But it cannot even be that since the soundtrack does not really match. Pathetic way of combining action and rap. One might think it being a recipe for a successful flick... here it fails miserably. Dialogues in this flick just killed me. The scene when Harlan is interrogated by some policeman is merely pitiful. Generally speaking, recent Seagals films are hardly watchable. What the hell happened to the guy? I know he's old but can't he get ""Hollywood"" to drop him a decent script or something? Is he running out of dough for his escapades to India that he takes on anything they serve him?"	0
"All Risto Jarva's films are worth of seeing. Some like ""Jäniksen vuosi"" and ""Loma"" are best films in their genre and have reached a status of a classics in Finnish cinema-history.<br /><br />Most people have formed a impression of actor Antti Litja through Jarva's films. Litja acted leading role in three of Jarva's films which all became successes at box office and movie reviews.<br /><br />It's nice to see that idea of ""Jäniksen Vuosi"" still lives in commercials (I think it was tele-operator Sonera's TV add where Litja was walking in mountain fell at Lapland with hare in his arms. Everibody who has seen the film knows what I am talking about..) ""Jäniksen Vuosi"" Is a beautiful film with great actors and good filming locations - like famous small town in Lappland, Sodankylä, where the best Film festival in the world is held - The Midnight Sun Film Festival. I recommend it for all to go there on June - but remember warm clothes and raincoat :)"	1
My kids picked this out at the video store...it's great to hear Liza as Dorothy cause she sounds just like her mom. But there are too many bad songs, and the animation is pretty crude compared to other cartoons of that time.	0
"First,I'll give my rating for the series overall; ******* 7 out of ten stars. I've taken away three for the downhill slide this series suffered after John Amos departed. Don't get me wrong there were hard hitting episodes later but only after Esther Rolle left for a season and returned.<br /><br />In February of 1974,a really great sit-com (with dramatic overtones)premiered on CBS. It was a TV first,a show about an African-American family living in the Chicago Projects in the 1970s. Created by Norman Lear as a spin-off of ""Maude"",he once again struck the right chord with viewers. <br /><br />Not since this show have I seen a situation comedy directly talk about the struggles of inner-city families. (Well,there was Fox's ""South Central"" in '94 but was not renewed.) <br /><br />John Amos as James Evans Sr. was the ultimate father figure for this family and acted as any father should to keep his family together and his kids from going down the wrong paths in life.<br /><br />Esther Rolle was a wonderful no non-sense mother figure who was on the same page as her husband when it came to their kids upbringing. <br /><br />Ralph Carter as Michael a young but very bright young man for his age but stuck in a school system that doesn't meet his academic needs. His character's name is the same as the show's founder Mike Evans who was Lionel Jefferson on ""The Jeffersons"". (Mike Evans passed away Dec. 2006).<br /><br />Thelma is a young girl of 16 or 17 and has to deal with the dangers of being a young woman in the streets of the ghetto. Jimmie Walker as J.J. Evans Jr. is the typical young wise-cracking,jiving kind of young man who does not take life seriously enough.<br /><br />Simply put,all my favorite episodes are with John Amos,with the exception of the Penny Gordon/Janet Jackson story lines.<br /><br />After the demise of the James Evans character,the show lost it's stability and viewers departed. Esther Rolle left for an entire year,not wanting to play second fiddle to JJ's smart-aleck ""Dyno-mite's""! <br /><br />She returned the next season,after securing a guarantee that the writer's would even things out. Florida's neighbor Wilona Woods was a divorced woman who ended up adopting an abused little girl Penny Gordon (played by a then 10 year old Janet Jackson). Penny's abusive mother was played by Totie Fields,Kim Fields' Mother.<br /><br />In August of 1979 the show came to an end,with all leaving the projects for a better life. JJ the artist had sold an idea to a comic-book company,Michael went off to live on campus at college. <br /><br />Wilona & Penny,Thelma & football player husband Keith + Florida all moved into the same building in uptown Chicago. Not the most realistic ending but by that time it didn't matter."	1
"There are many reasons to watch this movie: to see the reality that whips Latin America with regard to the kidnappings thing, the police corruption at continental level, among so many realities that we live the Latins. <br /><br />The performance of Denzel Wahington was brilliant, this guy continues being an excellent actor and that it continues this way. Dakota Fanning just by 10 years, an excellent actress has become and I congratulate her. The rest of the movie was of marvel, I have it in my collection. <br /><br />I hope that they are happened to those producing of Hollywood to make a movie completely in Venezuela, where they show our reality better with regard to the delinquency, the traffic of drugs or the political problems. They have been few the movies that they play Venezuelan land (for example: Aracnophobia, Jungle 2 Jungle, Dragonfly) they should make more, as well as they make in Mexico.<br /><br />The song ""Una Mirada"" I hope that it leaves in the soundtrack, it is excellent. My vote is 10/10"	1
This was the WORST Christmas movie I ever saw. I took my two small children to see this. It was the darkest, most dismal plot- family has no money, mom loses her job, father gets killed in the bank, bank robber steals family car with both kids in the back and after high speed chase, drives off the bridge and drowns them in the river. Mom is left all alone. No wonder her Christmas spririt is gone. Christmas angels do not rescue children that have drowned, and Santa does not bring back dead fathers! I thought this was the WORST message to send children. Better to tell them that there is NO Santa than show them a movie like this!!	0
Two hours ago I was watching this brilliant movie which overwhelmed me with its imprisoning photography. It is quite understandable how it won the prize of Best Camera in Cannes 2000. Close ups predominated it. Close ups of walls, humans and of many other things. The warm colored lighting (which is also usually by the director) gave the movie a warm atmosphere. Only two persons are principally to be seen in most of it. An interesting music and especially three songs or themes accompanied the movie nearly all the time. Each one of these themes represented a certain atmosphere during the whole movie. Silence and slow movements characterize the movie. Some scenes were extended moments or a serious of close-ups. Not only Tony Leung deserves a prize for his superb acting since Maggie Cheung was also so brilliant. I wonder how many dresses she was wearing in the different scenes. The story was also connected somehow with the history of Hong Kong and the region the 1960s. This prevented me from understanding some details of the it especially at the end. In short I would recommend the fans of artistic movies to watch it in the cinema.	1
I've tried to reconcile why so many bad reviews of this film, while the vast majority of reviews are given a rating of between 7 and 10. The reason may be this film is kind of hard to describe in a positive review, although a few have done that quite nicely already. This film is confusing, depressing, and doesn't have a happy ending. I still gave Pola X a rating of 10, because it is basically for me literature and art combined on film. That is really my favorite kind of filmmaking. I've only seen two of Carax's films: this one and Mauvis Sang. As with this film, I'm being somewhat pretentious when I call this one of Carax's best films- but I am. Carax has a minimalist style. If that type of film does not appeal to you and is boring, then it would be best not to watch this. But Pola X was less minimalist than Mauvis Sang, so it had quite a lot of intensity for a thriller- at least for my taste. I found it quite interesting and absorbing. The two lead roles did an excellent job acting. (I mean the lead and the young woman he thought was his half sister.) Catherine D. is always great, but her role was not very large or significant in the story. But everyone did a fine job. I thought the cult stuff was great. It may have not been very believable, but that is due to its being rather abstract. There is a lot going on between the lines in this film. This is a very Freudian psycho-thriller.	1
The making of The Thief Of Bagdad is quite a story unto itself, almost as wondrous as the tale told in this film. Alexander Korda nearly went broke making this film.<br /><br />According to the Citadel Film series Book about The Great British Films, adopted son of the United Kingdom Alexander Korda had conceived this film as early as 1933 and spent years of planning and preparation. But World War II unfortunately caught up with Korda and the mounting expenses of filming a grand spectacle.<br /><br />Budget costs happen in US films too, only Cecil B. DeMille always had a free hand at Paramount after 1932 when he returned there. But DeMille nor any of his American contemporaries had to worry about enemy bombs while shooting the film. Part of the way through the shoot, Korda transported the whole company to America and shot those sequences with Rex Ingram as the genie in our Grand Canyon. He certainly wasn't going to get scenery like that in the UK. Korda also finished the interiors in Hollywood, all in time for a release on Christmas Day 1940.<br /><br />The spectacle of the thing earned The Thief Of Bagdad four Academy Award nominations and three Oscars for best color cinematography, best art&set direction for a color film, and best special effects. Only Miklos Rosza's original musical score did not take home a prize in a nominated category. Korda must have been real happy about deciding to shoot in the Grand Canyon because it's impossible to get bad color pictures from that place.<br /><br />The special effects however do not overwhelm the simple story of good triumphing over evil. The good is the two young lovers John Justin and June Duprez and the evil is Conrad Veidt as the sorcerer who tries to steal both a kingdom and a heart, both belonging to Duprez. This was Veidt's career role until Casablanca where he played the Luftwaffe major Stroesser. <br /><br />Of course good gets a little help from an unlikely source. Beggar boy and thief Sabu who may very well have been one of the few who could call himself at the time an international movie star. Literally rising from poverty working as an elephant stable boy for the Maharajah of Mysore he was spotted by Alexander Korda who needed a native lead for one of his jungle features. Sabu captures all the innocence and mischievousness of youth as he fulfills the Arabian Nights fantasy of the boy who topples a tyrant. Not a bad message to be sending out in 1940 at that.<br /><br />The Thief Of Bagdad holds up remarkably well today. It's an eternal tale of love, romance, and adventure in any order you want to put it.	1
"Have you ever found yourself watching a film or documentary and having to hold yourself back from screaming things like ""No! Don't do it!""? No? Well it's time you do. And undoubtedly DEEP WATER is the one to get you started.<br /><br />The story is based on that of Donald Crowhurst and his entry into the first round-the-world yacht race to be undertaken by individuals in 1968. That word ""individuals"" is important, as the men who set off on this nearly suicidal escapade head out alone.<br /><br />Most of the men are well-knowns in the sea-faring communities of England (where they launch from), but one of them is the ""unknown dark horse,"" and his name was Donald Crowhurst. Struggling financially, Crowhurst enlists a backer who can take everything from him should he fail to at least attempt to make it through a large portion of the race. He could take his home, his property, everything.<br /><br />Crowhurst now finds himself between a rock and ...well ...deep water: either attempt the race with an unproven ship and an unproven captain, or lose everything you own (which was significant since Crowhurst had a wife and several children). You'll note the term ""unproven captain"" in there, too. Not only was he unproven, he'd never been out on the open sea! Did I mention suicidal? Flicking between archival footage of the pre- and post-race, and those of Crowhurst's friends, family, and acquaintances of today, Deep Water is put together masterfully. Initially seen as a poor sap who got in over his head, the film gradually shows you the limited choices Crowhurst had after months and months out on the water. His ship leaks. Equipment breaks. Psyche stretched to the breaking point (and beyond). Crowhurst finds himself lost in an internal struggle with no successful way out. It is interesting, too, to see the psychological breaks that other racers have as they deal with their solitary confinement on-board their respective boats.<br /><br />The wave-like emotions that you'll feel as you watch this astounding documentary may make you a bit ill (not unlike trying to get your sea-legs). And you'll probably be frustrated at the choices being made; perhaps just as frustrated as poor Mr. Crowhurst.<br /><br />The ending is also amazing in that we get to see the actual ship that Crowhurst sailed, sitting deserted and rotting on a Caribbean beach ...not unlike other things that felt deserted and rotting toward the end of this poorly thought-out race.<br /><br />Incredible."	1
