text	label
[鼓掌] //@朱皓毅: 原来蔡总是首发[嘻嘻]	1
年味十足！[爱你]	1
本周的午餐菜单如下：http://t.cn/zY8FsCy 感兴趣的朋友不要错过[可爱] //@teruisitan: 用餐环境看起来挺棒的，138元能吃到如此丰富的菜品，真是物超所值[good]	1
11月22日-12月7日，#奥迪创新空间站#将正式对公众开放，欢迎到广州海心沙探寻”四个大球“的秘密[嘻嘻] 也可以关注我们的”奥迪创新空间“微信账号，和奥迪一起开启创新之旅！	1
有，乐不思蜀。//@姿颖的微博:[哈哈]【宜家靠迷路创造60%冲动购物】你有没有过这种感受呢？	1
知了还活着[哈哈]	1
仲有得好耶不讲得// @月亮游味? :回复  @大哥餐厅  : 切?的?包???有扁塌了呢! ?有蛋白炸的??, 有趣! [?嘴][good] //  @大哥餐厅  :回复  @月亮游味?  : 很??[可爱][可爱]只是厚多士一?九炸，?有?料花生?等，如果熟客，可以私伙要求蛋白炸或者蛋?炸[偷笑][偷笑]?味大不相同[酷]	1
太震撼了，我去巴黎的时候怎么没找到这样的好位置，哈哈！[亲亲]@璇宝宝Elaine @刘杨刘杨刘大杨 @我想说真话- @我没微博真的 @楠心-楠意	1
大家快仔细看看，找到你心仪的那个人了吗？[嘻嘻]	1
看到这张图马上想到你@小萌萌277 [爱你][爱你]	1
在看的亲们来冒泡！！[亲亲]	1
支持！//@DJ曙光: 都来投票啊[嘻嘻]@阿仝木 @背包客小鹏 @BTV杨艳 @BTV祖冲冲 @DavidFeng冯琰 @冯关蕾 @高颂 @高欣_百合 @郭茜Cherry @九歌宣元 @Lu瑶Yao @趴趴熊-Elsa @馒头圆圆 @美丽毅 @怒怒小哥 @齐天胤的微博 @田野Manu	1
今晚20:00~21:00北京文艺广播电台FM87.6[话筒][话筒][话筒]//@隋小爷:今晚做客去[哈哈]	1
中国特色竞争模式 //@中国经营报:顶老刘一下！[嘻嘻]	1
哈哈哈哈 //@春风春风017:真希望这样[哈哈][抓狂] //@朱八贱:这塔马熊孩子领导！哈哈//@进击的巨人官网: 哈哈哈哈哈哈哈//@吴谚祖: 哈哈哈哈哈哈哈//@七个柚子多少钱:哈哈哈哈哈哈//@杰克波比:哈哈哈哈哈哈	1
[鼓掌] //@奥迪英杰汇:#品致生活脱口秀#奥迪英杰汇马未都老师即将和大家分享有趣的故事，期待！@太美黑卡会	1
所以嘛，let it be[可爱]	1
提前祝大家五一长假快乐！真就是一眨眼，一眨眼就会到的！[嘻嘻]	1
[哈哈]算谣言否？	1
#三清驴友#巨蟒出山那张有点白娘子即将幻化成人形那时的感觉~~[哈哈]	1
妹子长得好可爱！[哈哈]	1
[good] //@报纸观察：格调决定发行量[嘻嘻]   //@炸小鱼：现在报纸的标题越来越奔放了	1
苏局长，帝都人民能帮你的就这么多了[嘻嘻]PS：我八达岭高速一战成名[鼓掌][鼓掌]	1
巴神啊,[哈哈]	1
[爱你]//@职业规划洪向阳:本月底，当当网及全国各大书店有售！[呵呵] //@思思小魔女:哪里买这个书啊 //《10天谋定好前途―职业规划实操手册》节后来袭！绝对实用！绝对经典！十年一剑，倾情奉献！你还在等什么？小伙伴们，勇敢做自己的职业规划师吧！[鼓掌]	1
[阳光]//@乐猴817: 几度风雨几度秋，云遮雾绕景如旧。偶失青山真面目，江山多娇千古流。[鼓掌][赞]美	1
